"Flight Type","From city","To city","Cheapest Flight","Last checked"
"One-Way","Mumbai","Bengarlu","Rs2,197","Sat Apr 03 11:22:26 IST 2021"
"One-Way","Delhi","Goa","Rs4,582","Sat Apr 03 11:22:49 IST 2021"
